user_id;requete;11pt_avg;P_1;P_10;P_100;P_1000;P_15;P_2;P_20;P_200;P_30;P_5;P_50;P_500;Rndcg;Rprec;bpref;iprec_at_recall_0.00;iprec_at_recall_0.10;iprec_at_recall_0.20;iprec_at_recall_0.30;iprec_at_recall_0.40;iprec_at_recall_0.50;iprec_at_recall_0.60;iprec_at_recall_0.70;iprec_at_recall_0.80;iprec_at_recall_0.90;iprec_at_recall_1.00;map;ndcg;ndcg_cut_10;ndcg_cut_100;ndcg_cut_1000;ndcg_cut_15;ndcg_cut_20;ndcg_cut_200;ndcg_cut_30;ndcg_cut_5;ndcg_cut_500;ndcg_rel;num_rel;num_rel_ret;num_ret;recall_1;recall_10;recall_100;recall_1000;recall_15;recall_2;recall_20;recall_200;recall_30;recall_5;recall_50;recall_500;recip_rank;relative_P_1;relative_P_10;relative_P_100;relative_P_1000;relative_P_15;relative_P_2;relative_P_20;relative_P_200;relative_P_30;relative_P_5;relative_P_50;relative_P_500;set_F;set_P;set_map;set_recall;set_relative_P;success_1;success_10;success_5
user_10;251;0.0182;0.0;0.2000;0.0200;0.0050;0.1333;0.0;0.1000;0.0150;0.0667;0.0000;0.0;0.0100;0.0257;0.0166;0.0271;0.2000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0021;0.0291;0.0665;0.0196;0.0291;0.0516;0.0429;0.0175;0.0330;0.0000;0.0291;0.0293;181;5;1000;0.0;0.0110;0.0110;0.0276;0.0110;0.0;0.0110;0.0166;0.0110;0.0000;0.0;0.0276;0.1250;0.0;0.2000;0.0200;0.0276;0.1333;0.0;0.1000;0.0166;0.0667;0.0000;0.0;0.0276;0.0085;0.0050;0.0001;0.0276;0.0276;0.0000;1.0000;0.0000
user_10;252;0.0909;0.0;0.7000;0.0800;0.0080;0.4667;0.0;0.3500;0.0400;0.2333;1.0000;0.0;0.0160;0.2380;0.0656;0.0654;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0593;0.1289;0.3607;0.1447;0.1289;0.3190;0.2891;0.1289;0.2474;0.4275;0.1289;0.1458;122;8;0.0;0.0;0.0574;0.0656;0.0656;0.0574;0.0;0.0574;0.0656;0.0574;0.0410;0.0;0.0656;1.0000;0.0;0.7000;0.0800;0.0656;0.4667;0.0;0.3500;0.0656;0.2333;1.0000;0.0;0.0656;0.0143;0.0080;0.0005;0.0656;0.0656;1.0000;1.0000;1.0000
user_10;253;0.0909;0.0;0.2000;0.0700;0.0100;0.1333;0.0;0.1000;0.0350;0.1667;0.4000;0.0;0.0200;0.1095;0.0479;0.0670;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0171;0.0867;0.1834;0.0858;0.0867;0.1537;0.1342;0.0743;0.1371;0.2826;0.0867;0.0942;146;10;0.0;0.0;0.0137;0.0479;0.0685;0.0137;0.0;0.0137;0.0479;0.0342;0.0137;0.0;0.0685;1.0000;0.0;0.2000;0.0700;0.0685;0.1333;0.0;0.1000;0.0479;0.1667;0.4000;0.0;0.0685;0.0175;0.0100;0.0007;0.0685;0.0685;1.0000;1.0000;1.0000
user_10;255;0.0058;0.0;0.0000;0.0100;0.0010;0.0000;0.0;0.0000;0.0050;0.0000;0.0000;0.0;0.0020;0.0118;0.0000;0.1600;0.0213;0.0213;0.0213;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0043;0.0353;0.0000;0.0353;0.0353;0.0000;0.0000;0.0353;0.0000;0.0000;0.0353;0.0353;5;1;0.0;0.0;0.0000;0.2000;0.2000;0.0000;0.0;0.0000;0.2000;0.0000;0.0000;0.0;0.2000;0.0213;0.0;0.0000;0.2000;0.2000;0.0000;0.0;0.0000;0.2000;0.0000;0.0000;0.0;0.2000;0.0020;0.0010;0.0002;0.2000;0.2000;0.0000;0.0000;0.0000
user_10;259;0.0909;0.0;0.5000;0.0800;0.0080;0.4000;0.0;0.3000;0.0400;0.2333;0.6000;0.0;0.0160;0.2612;0.0714;0.0705;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0464;0.1418;0.4539;0.1530;0.1418;0.4101;0.3544;0.1418;0.3036;0.4653;0.1418;0.1636;112;8;0.0;0.0;0.0446;0.0714;0.0714;0.0536;0.0;0.0536;0.0714;0.0625;0.0268;0.0;0.0714;1.0000;0.0;0.5000;0.0800;0.0714;0.4000;0.0;0.3000;0.0714;0.2333;0.6000;0.0;0.0714;0.0144;0.0080;0.0006;0.0714;0.0714;1.0000;1.0000;1.0000
user_10;261;0.0005;0.0;0.0000;0.0000;0.0020;0.0000;0.0;0.0000;0.0050;0.0000;0.0000;0.0;0.0020;0.0087;0.0000;0.0635;0.0060;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0005;0.0261;0.0000;0.0000;0.0261;0.0000;0.0000;0.0144;0.0000;0.0000;0.0144;0.0255;21;2;0.0;0.0;0.0000;0.0000;0.0952;0.0000;0.0;0.0000;0.0476;0.0000;0.0000;0.0;0.0476;0.0060;0.0;0.0000;0.0000;0.0952;0.0000;0.0;0.0000;0.0476;0.0000;0.0000;0.0;0.0476;0.0039;0.0020;0.0002;0.0952;0.0952;0.0000;0.0000;0.0000
user_10;263;0.0020;0.0;0.0000;0.0200;0.0070;0.0000;0.0;0.0000;0.0100;0.0000;0.0000;0.0;0.0100;0.0133;0.0131;0.0449;0.0222;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0006;0.0305;0.0000;0.0124;0.0305;0.0000;0.0000;0.0095;0.0000;0.0000;0.0242;0.0299;153;7;0.0;0.0;0.0000;0.0131;0.0458;0.0000;0.0;0.0000;0.0131;0.0000;0.0000;0.0;0.0327;0.0112;0.0;0.0000;0.0200;0.0458;0.0000;0.0;0.0000;0.0131;0.0000;0.0000;0.0;0.0327;0.0121;0.0070;0.0003;0.0458;0.0458;0.0000;0.0000;0.0000
user_10;267;0.0909;0.0;0.1000;0.0100;0.0010;0.0667;0.0;0.0500;0.0050;0.0333;0.2000;0.0;0.0020;0.0262;0.0118;0.0118;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0118;0.0236;0.0734;0.0236;0.0236;0.0569;0.0473;0.0236;0.0364;0.1131;0.0236;0.0273;85;1;0.0;0.0;0.0118;0.0118;0.0118;0.0118;0.0;0.0118;0.0118;0.0118;0.0118;0.0;0.0118;1.0000;0.0;0.1000;0.0118;0.0118;0.0667;0.0;0.0500;0.0118;0.0333;0.2000;0.0;0.0118;0.0018;0.0010;0.0000;0.0118;0.0118;1.0000;1.0000;1.0000
user_10;270;0.0184;0.0;0.1000;0.0500;0.0070;0.1333;0.0;0.1500;0.0250;0.1333;0.0000;0.0;0.0100;0.0501;0.0758;0.0957;0.1905;0.0117;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0117;0.0772;0.0294;0.0681;0.0772;0.0433;0.0536;0.0681;0.0729;0.0000;0.0681;0.0758;66;7;0.0;0.0;0.0152;0.0758;0.1061;0.0303;0.0;0.0455;0.0758;0.0606;0.0000;0.0;0.0758;0.1250;0.0;0.1000;0.0758;0.1061;0.1333;0.0;0.1500;0.0758;0.1333;0.0000;0.0;0.0758;0.0131;0.0070;0.0007;0.1061;0.1061;0.0000;1.0000;0.0000
user_10;271;0.0227;0.0;0.1000;0.0100;0.0010;0.0667;0.0;0.0500;0.0050;0.0333;0.2000;0.0;0.0020;0.0359;0.0667;0.0667;0.2500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0167;0.0539;0.0645;0.0539;0.0539;0.0539;0.0539;0.0539;0.0539;0.0848;0.0539;0.0564;15;1;0.0;0.0;0.0667;0.0667;0.0667;0.0667;0.0;0.0667;0.0667;0.0667;0.0667;0.0;0.0667;0.2500;0.0;0.1000;0.0667;0.0667;0.0667;0.0;0.0667;0.0667;0.0667;0.2000;0.0;0.0667;0.0020;0.0010;0.0001;0.0667;0.0667;0.0000;1.0000;1.0000
