requete;11pt_avg;P_1;P_10;P_100;P_1000;P_15;P_2;P_20;P_200;P_30;P_5;P_50;P_500;Rndcg;Rprec;bpref;iprec_at_recall_0.00;iprec_at_recall_0.10;iprec_at_recall_0.20;iprec_at_recall_0.30;iprec_at_recall_0.40;iprec_at_recall_0.50;iprec_at_recall_0.60;iprec_at_recall_0.70;iprec_at_recall_0.80;iprec_at_recall_0.90;iprec_at_recall_1.00;map;ndcg;ndcg_cut_10;ndcg_cut_100;ndcg_cut_1000;ndcg_cut_15;ndcg_cut_20;ndcg_cut_200;ndcg_cut_30;ndcg_cut_5;ndcg_cut_500;ndcg_rel;num_rel;num_rel_ret;num_ret;recall_1;recall_10;recall_100;recall_1000;recall_15;recall_2;recall_20;recall_200;recall_30;recall_5;recall_50;recall_500;recip_rank;relative_P_1;relative_P_10;relative_P_100;relative_P_1000;relative_P_15;relative_P_2;relative_P_20;relative_P_200;relative_P_30;relative_P_5;relative_P_50;relative_P_500;set_F;set_P;set_map;set_recall;set_relative_P;success_1;success_10;success_5
251;0.0455;0.0;0.3000;0.0500;0.0060;0.2000;0.0;0.1500;0.0250;0.1333;0.4000;0.0;0.0120;0.0596;0.0276;0.0327;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0095;0.0517;0.1560;0.0624;0.0517;0.1209;0.1007;0.0456;0.0885;0.1800;0.0517;0.0545;181;6;1000;0.0;0.0166;0.0276;0.0331;0.0166;0.0;0.0166;0.0276;0.0221;0.0110;0.0;0.0331;0.5000;0.0;0.3000;0.0500;0.0331;0.2000;0.0;0.1500;0.0276;0.1333;0.4000;0.0;0.0331;0.0102;0.0060;0.0002;0.0331;0.0331;0.0000;1.0000;1.0000
252;0.0909;0.0;0.7000;0.0700;0.0090;0.4667;0.0;0.3500;0.0400;0.2333;1.0000;0.0;0.0180;0.2352;0.0574;0.0723;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0558;0.1297;0.3566;0.1358;0.1297;0.3154;0.2859;0.1255;0.2446;0.4275;0.1297;0.1449;122;9;0.0;0.0;0.0574;0.0574;0.0738;0.0574;0.0;0.0574;0.0656;0.0574;0.0410;0.0;0.0738;1.0000;0.0;0.7000;0.0700;0.0738;0.4667;0.0;0.3500;0.0656;0.2333;1.0000;0.0;0.0738;0.0160;0.0090;0.0007;0.0738;0.0738;1.0000;1.0000;1.0000
253;0.0909;0.0;0.3000;0.0800;0.0090;0.2667;0.0;0.2500;0.0400;0.2667;0.4000;0.0;0.0180;0.1390;0.0548;0.0580;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0250;0.1001;0.2357;0.1126;0.1001;0.2298;0.2131;0.0975;0.2111;0.2826;0.1001;0.1118;146;9;0.0;0.0;0.0205;0.0548;0.0616;0.0274;0.0;0.0342;0.0548;0.0548;0.0137;0.0;0.0616;1.0000;0.0;0.3000;0.0800;0.0616;0.2667;0.0;0.2500;0.0548;0.2667;0.4000;0.0;0.0616;0.0157;0.0090;0.0006;0.0616;0.0616;1.0000;1.0000;1.0000
254;0.0455;0.0;0.3000;0.0400;0.0040;0.2000;0.0;0.1500;0.0200;0.1000;0.4000;0.0;0.0080;0.0684;0.0301;0.0289;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0098;0.0439;0.1070;0.0505;0.0439;0.0872;0.0749;0.0439;0.0621;0.1100;0.0439;0.0455;133;4;0.0;0.0;0.0226;0.0301;0.0301;0.0226;0.0;0.0226;0.0301;0.0226;0.0150;0.0;0.0301;0.3333;0.0;0.3000;0.0400;0.0301;0.2000;0.0;0.1500;0.0301;0.1000;0.4000;0.0;0.0301;0.0071;0.0040;0.0001;0.0301;0.0301;0.0000;1.0000;1.0000
255;0.0114;0.0;0.0000;0.0100;0.0010;0.0000;0.0;0.0000;0.0050;0.0333;0.0000;0.0;0.0020;0.0141;0.0000;0.0000;0.0417;0.0417;0.0417;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0083;0.0424;0.0000;0.0424;0.0424;0.0000;0.0000;0.0424;0.0424;0.0000;0.0424;0.0424;5;1;0.0;0.0;0.0000;0.2000;0.2000;0.0000;0.0;0.0000;0.2000;0.2000;0.0000;0.0;0.2000;0.0417;0.0;0.0000;0.2000;0.2000;0.0000;0.0;0.0000;0.2000;0.2000;0.0000;0.0;0.2000;0.0020;0.0010;0.0002;0.2000;0.2000;0.0000;0.0000;0.0000
256;0.0936;0.0;0.4000;0.0700;0.0090;0.4667;0.0;0.3500;0.0400;0.2333;0.8000;0.0;0.0180;0.1749;0.0787;0.0985;1.0000;0.0299;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0600;0.1433;0.1887;0.1299;0.1433;0.2429;0.2200;0.1392;0.1964;0.2846;0.1433;0.1547;89;9;0.0;0.0;0.0449;0.0787;0.1011;0.0787;0.0;0.0787;0.0899;0.0787;0.0449;0.0;0.1011;1.0000;0.0;0.4000;0.0787;0.1011;0.4667;0.0;0.3500;0.0899;0.2333;0.8000;0.0;0.1011;0.0165;0.0090;0.0009;0.1011;0.1011;1.0000;1.0000;1.0000
257;0.0579;0.0;0.6000;0.1000;0.0100;0.6000;0.0;0.5000;0.0500;0.3333;0.4000;0.0;0.0200;0.1312;0.0952;0.0930;0.6364;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0504;0.1405;0.3118;0.1433;0.1405;0.3258;0.2960;0.1405;0.2397;0.1891;0.1405;0.1532;105;10;0.0;0.0;0.0571;0.0952;0.0952;0.0857;0.0;0.0952;0.0952;0.0952;0.0190;0.0;0.0952;0.3333;0.0;0.6000;0.1000;0.0952;0.6000;0.0;0.5000;0.0952;0.3333;0.4000;0.0;0.0952;0.0181;0.0100;0.0010;0.0952;0.0952;0.0000;1.0000;1.0000
258;0.0606;0.0;0.2000;0.0300;0.0040;0.1333;0.0;0.1000;0.0200;0.0667;0.4000;0.0;0.0080;0.0665;0.0429;0.0539;0.6667;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0182;0.0626;0.1245;0.0568;0.0626;0.0965;0.0803;0.0626;0.0698;0.1918;0.0626;0.0675;70;4;0.0;0.0;0.0286;0.0429;0.0571;0.0286;0.0;0.0286;0.0571;0.0286;0.0286;0.0;0.0571;0.5000;0.0;0.2000;0.0429;0.0571;0.1333;0.0;0.1000;0.0571;0.0667;0.4000;0.0;0.0571;0.0075;0.0040;0.0002;0.0571;0.0571;0.0000;1.0000;1.0000
259;0.0909;0.0;0.6000;0.1000;0.0100;0.5333;0.0;0.4000;0.0500;0.2667;1.0000;0.0;0.0200;0.2808;0.0893;0.0882;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0665;0.1713;0.5286;0.1848;0.1713;0.5089;0.4397;0.1713;0.3533;0.6439;0.1713;0.2015;112;10;0.0;0.0;0.0536;0.0893;0.0893;0.0714;0.0;0.0714;0.0893;0.0714;0.0446;0.0;0.0893;1.0000;0.0;0.6000;0.1000;0.0893;0.5333;0.0;0.4000;0.0893;0.2667;1.0000;0.0;0.0893;0.0180;0.0100;0.0009;0.0893;0.0893;1.0000;1.0000;1.0000
260;0.0371;0.0;0.2000;0.0200;0.0030;0.1333;0.0;0.1000;0.0100;0.0667;0.4000;0.0;0.0060;0.0808;0.0833;0.0903;0.4000;0.0083;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0309;0.0865;0.1093;0.0792;0.0865;0.0908;0.0837;0.0792;0.0792;0.1506;0.0865;0.0888;24;3;0.0;0.0;0.0833;0.0833;0.1250;0.0833;0.0;0.0833;0.0833;0.0833;0.0833;0.0;0.1250;0.3333;0.0;0.2000;0.0833;0.1250;0.1333;0.0;0.1000;0.0833;0.0833;0.4000;0.0;0.1250;0.0059;0.0030;0.0004;0.1250;0.1250;0.0000;1.0000;1.0000
