requete;11pt_avg;P_1;P_10;P_100;P_1000;P_15;P_2;P_20;P_200;P_30;P_5;P_50;P_500;Rndcg;Rprec;bpref;iprec_at_recall_0.00;iprec_at_recall_0.10;iprec_at_recall_0.20;iprec_at_recall_0.30;iprec_at_recall_0.40;iprec_at_recall_0.50;iprec_at_recall_0.60;iprec_at_recall_0.70;iprec_at_recall_0.80;iprec_at_recall_0.90;iprec_at_recall_1.00;map;ndcg;ndcg_cut_10;ndcg_cut_100;ndcg_cut_1000;ndcg_cut_15;ndcg_cut_20;ndcg_cut_200;ndcg_cut_30;ndcg_cut_5;ndcg_cut_500;ndcg_rel;num_rel;num_rel_ret;num_ret;recall_1;recall_10;recall_100;recall_1000;recall_15;recall_2;recall_20;recall_200;recall_30;recall_5;recall_50;recall_500;recip_rank;relative_P_1;relative_P_10;relative_P_100;relative_P_1000;relative_P_15;relative_P_2;relative_P_20;relative_P_200;relative_P_30;relative_P_5;relative_P_50;relative_P_500;set_F;set_P;set_map;set_recall;set_relative_P;success_1;success_10;success_5
251;0.0040;0.0;0.0000;0.0400;0.0060;0.0000;0.0;0.0000;0.0200;0.0333;0.0000;0.0;0.0100;0.0181;0.0221;0.0324;0.0440;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0010;0.0275;0.0000;0.0223;0.0275;0.0000;0.0000;0.0163;0.0115;0.0000;0.0224;0.0272;181;6;1000;0.0;0.0000;0.0221;0.0331;0.0000;0.0;0.0000;0.0221;0.0055;0.0000;0.0;0.0276;0.0385;0.0;0.0000;0.0400;0.0331;0.0000;0.0;0.0000;0.0221;0.0333;0.0000;0.0;0.0276;0.0102;0.0060;0.0002;0.0331;0.0331;0.0000;0.0000;0.0000
252;0.0909;0.0;0.5000;0.0700;0.0090;0.4667;0.0;0.3500;0.0350;0.2333;0.6000;0.0;0.0140;0.1996;0.0574;0.0716;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0364;0.1101;0.2522;0.1154;0.1101;0.2680;0.2429;0.1029;0.2079;0.2736;0.1029;0.1200;122;9;0.0;0.0;0.0410;0.0574;0.0738;0.0574;0.0;0.0574;0.0574;0.0574;0.0246;0.0;0.0574;1.0000;0.0;0.5000;0.0700;0.0738;0.4667;0.0;0.3500;0.0574;0.2333;0.6000;0.0;0.0574;0.0160;0.0090;0.0007;0.0738;0.0738;1.0000;1.0000;1.0000
253;0.0545;0.0;0.4000;0.0900;0.0090;0.3333;0.0;0.3000;0.0450;0.2667;0.6000;0.0;0.0180;0.1064;0.0616;0.0573;0.6000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0226;0.0782;0.1707;0.0903;0.0782;0.1738;0.1646;0.0782;0.1612;0.1976;0.0782;0.0832;146;9;0.0;0.0;0.0274;0.0616;0.0616;0.0342;0.0;0.0411;0.0616;0.0548;0.0205;0.0;0.0616;0.3333;0.0;0.4000;0.0900;0.0616;0.3333;0.0;0.3000;0.0616;0.2667;0.6000;0.0;0.0616;0.0157;0.0090;0.0006;0.0616;0.0616;0.0000;1.0000;1.0000
254;0.0080;0.0;0.0000;0.0400;0.0040;0.0000;0.0;0.0000;0.0200;0.0333;0.0000;0.0;0.0080;0.0126;0.0301;0.0285;0.0882;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0018;0.0252;0.0000;0.0289;0.0252;0.0000;0.0000;0.0252;0.0102;0.0000;0.0252;0.0251;133;4;0.0;0.0;0.0000;0.0301;0.0301;0.0000;0.0;0.0000;0.0301;0.0075;0.0000;0.0;0.0301;0.0345;0.0;0.0000;0.0400;0.0301;0.0000;0.0;0.0000;0.0301;0.0333;0.0000;0.0;0.0301;0.0071;0.0040;0.0001;0.0301;0.0301;0.0000;0.0000;0.0000
255;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;5;0;0.0;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
256;0.0909;0.0;0.3000;0.0700;0.0080;0.2667;0.0;0.2500;0.0350;0.2333;0.6000;0.0;0.0140;0.1451;0.0787;0.0880;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0434;0.1234;0.1545;0.1159;0.1234;0.1455;0.1725;0.1159;0.1752;0.2331;0.1159;0.1319;89;8;0.0;0.0;0.0337;0.0787;0.0899;0.0449;0.0;0.0562;0.0787;0.0787;0.0337;0.0;0.0787;1.0000;0.0;0.3000;0.0787;0.0899;0.2667;0.0;0.2500;0.0787;0.2333;0.6000;0.0;0.0787;0.0147;0.0080;0.0007;0.0899;0.0899;1.0000;1.0000;1.0000
257;0.0205;0.0;0.0000;0.1000;0.0100;0.0667;0.0;0.1500;0.0500;0.2000;0.0000;0.0;0.0200;0.0570;0.0952;0.0926;0.2258;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0164;0.0895;0.0000;0.0913;0.0895;0.0327;0.0682;0.0895;0.1033;0.0000;0.0895;0.0895;105;10;0.0;0.0;0.0000;0.0952;0.0952;0.0095;0.0;0.0286;0.0952;0.0571;0.0000;0.0;0.0952;0.0714;0.0;0.0000;0.1000;0.0952;0.0667;0.0;0.1500;0.0952;0.2000;0.0000;0.0;0.0952;0.0181;0.0100;0.0010;0.0952;0.0952;0.0000;0.0000;0.0000
258;0.0182;0.0;0.1000;0.0400;0.0040;0.0667;0.0;0.0500;0.0200;0.0333;0.2000;0.0;0.0080;0.0326;0.0429;0.0547;0.2000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0049;0.0385;0.0426;0.0385;0.0385;0.0330;0.0275;0.0385;0.0239;0.0656;0.0385;0.0387;70;4;0.0;0.0;0.0143;0.0571;0.0571;0.0143;0.0;0.0143;0.0571;0.0143;0.0143;0.0;0.0571;0.2000;0.0;0.1000;0.0571;0.0571;0.0667;0.0;0.0500;0.0571;0.0333;0.2000;0.0;0.0571;0.0075;0.0040;0.0002;0.0571;0.0571;0.0000;1.0000;1.0000
259;0.0455;0.0;0.4000;0.0900;0.0100;0.2667;0.0;0.3500;0.0500;0.2667;0.4000;0.0;0.0200;0.0742;0.0893;0.0876;0.5000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0281;0.1113;0.2388;0.1135;0.1113;0.1968;0.2507;0.1113;0.2214;0.1785;0.1113;0.1193;112;10;0.0;0.0;0.0357;0.0804;0.0893;0.0357;0.0;0.0625;0.0893;0.0714;0.0179;0.0;0.0893;0.2500;0.0;0.4000;0.0900;0.0893;0.2667;0.0;0.3500;0.0893;0.2667;0.4000;0.0;0.0893;0.0180;0.0100;0.0009;0.0893;0.0893;0.0000;1.0000;1.0000
260;0.0152;0.0;0.1000;0.0100;0.0020;0.0667;0.0;0.0500;0.0100;0.0333;0.0000;0.0;0.0040;0.0374;0.0417;0.0729;0.1667;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0078;0.0536;0.0612;0.0443;0.0536;0.0508;0.0468;0.0536;0.0443;0.0000;0.0536;0.0546;24;2;0.0;0.0;0.0417;0.0417;0.0833;0.0417;0.0;0.0417;0.0833;0.0417;0.0000;0.0;0.0833;0.1667;0.0;0.1000;0.0417;0.0833;0.0667;0.0;0.0500;0.0833;0.0417;0.0000;0.0;0.0833;0.0039;0.0020;0.0002;0.0833;0.0833;0.0000;1.0000;0.0000
