requete;11pt_avg;P_1;P_10;P_100;P_1000;P_15;P_2;P_20;P_200;P_30;P_5;P_50;P_500;Rndcg;Rprec;bpref;iprec_at_recall_0.00;iprec_at_recall_0.10;iprec_at_recall_0.20;iprec_at_recall_0.30;iprec_at_recall_0.40;iprec_at_recall_0.50;iprec_at_recall_0.60;iprec_at_recall_0.70;iprec_at_recall_0.80;iprec_at_recall_0.90;iprec_at_recall_1.00;map;ndcg;ndcg_cut_10;ndcg_cut_100;ndcg_cut_1000;ndcg_cut_15;ndcg_cut_20;ndcg_cut_200;ndcg_cut_30;ndcg_cut_5;ndcg_cut_500;ndcg_rel;num_rel;num_rel_ret;num_ret;recall_1;recall_10;recall_100;recall_1000;recall_15;recall_2;recall_20;recall_200;recall_30;recall_5;recall_50;recall_500;recip_rank;relative_P_1;relative_P_10;relative_P_100;relative_P_1000;relative_P_15;relative_P_2;relative_P_20;relative_P_200;relative_P_30;relative_P_5;relative_P_50;relative_P_500;set_F;set_P;set_map;set_recall;set_relative_P;success_1;success_10;success_5
251;0.0083;0.0;0.0000;0.0300;0.0050;0.0000;0.0;0.0500;0.0250;0.0667;0.0000;0.0;0.0100;0.0271;0.0221;0.0273;0.0909;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0015;0.0278;0.0000;0.0205;0.0278;0.0000;0.0164;0.0278;0.0237;0.0000;0.0278;0.0278;181;5;1000;0.0;0.0000;0.0166;0.0276;0.0000;0.0;0.0055;0.0276;0.0110;0.0000;0.0;0.0276;0.0526;0.0;0.0000;0.0300;0.0276;0.0000;0.0;0.0500;0.0276;0.0667;0.0000;0.0;0.0276;0.0085;0.0050;0.0001;0.0276;0.0276;0.0000;0.0000;0.0000
252;0.0909;0.0;0.5000;0.0700;0.0080;0.4667;0.0;0.3500;0.0350;0.2333;0.8000;0.0;0.0160;0.2041;0.0574;0.0643;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0407;0.1108;0.2651;0.1201;0.1108;0.2788;0.2527;0.1070;0.2162;0.3360;0.1108;0.1222;122;8;0.0;0.0;0.0410;0.0574;0.0656;0.0574;0.0;0.0574;0.0574;0.0574;0.0328;0.0;0.0656;1.0000;0.0;0.5000;0.0700;0.0656;0.4667;0.0;0.3500;0.0574;0.2333;0.8000;0.0;0.0656;0.0143;0.0080;0.0005;0.0656;0.0656;1.0000;1.0000;1.0000
253;0.0606;0.0;0.4000;0.0900;0.0100;0.4667;0.0;0.4000;0.0450;0.3000;0.6000;0.0;0.0180;0.1206;0.0616;0.0662;0.6667;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0315;0.0930;0.1838;0.1050;0.0930;0.2352;0.2307;0.0910;0.1969;0.2429;0.0910;0.1020;146;10;0.0;0.0;0.0274;0.0616;0.0685;0.0479;0.0;0.0548;0.0616;0.0616;0.0205;0.0;0.0616;0.5000;0.0;0.4000;0.0900;0.0685;0.4667;0.0;0.4000;0.0616;0.3000;0.6000;0.0;0.0616;0.0175;0.0100;0.0007;0.0685;0.0685;0.0000;1.0000;1.0000
254;0.0248;0.0;0.2000;0.0300;0.0040;0.2000;0.0;0.1500;0.0150;0.1000;0.0000;0.0;0.0060;0.0246;0.0226;0.0284;0.2727;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0044;0.0296;0.0507;0.0273;0.0296;0.0608;0.0522;0.0237;0.0433;0.0000;0.0237;0.0301;133;4;0.0;0.0;0.0150;0.0226;0.0301;0.0226;0.0;0.0226;0.0226;0.0226;0.0000;0.0;0.0226;0.1111;0.0;0.2000;0.0300;0.0301;0.2000;0.0;0.1500;0.0226;0.1000;0.0000;0.0;0.0226;0.0071;0.0040;0.0001;0.0301;0.0301;0.0000;1.0000;0.0000
255;0.0009;0.0;0.0000;0.0000;0.0010;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.0020;0.0080;0.0000;0.0000;0.0033;0.0033;0.0033;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0007;0.0239;0.0000;0.0000;0.0239;0.0000;0.0000;0.0000;0.0000;0.0000;0.0239;0.0239;5;1;0.0;0.0;0.0000;0.0000;0.2000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.2000;0.0033;0.0;0.0000;0.0000;0.2000;0.0000;0.0;0.0000;0.0000;0.0000;0.0000;0.0;0.2000;0.0020;0.0010;0.0002;0.2000;0.2000;0.0000;0.0000;0.0000
256;0.0909;0.0;0.4000;0.0600;0.0070;0.2667;0.0;0.2500;0.0300;0.1667;0.8000;0.0;0.0120;0.1329;0.0674;0.0771;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0444;0.0994;0.1835;0.0957;0.0994;0.1532;0.1519;0.0957;0.1356;0.2768;0.0957;0.1094;89;7;0.0;0.0;0.0449;0.0674;0.0787;0.0449;0.0;0.0562;0.0674;0.0562;0.0449;0.0;0.0674;1.0000;0.0;0.4000;0.0674;0.0787;0.2667;0.0;0.2500;0.0674;0.1667;0.8000;0.0;0.0674;0.0129;0.0070;0.0006;0.0787;0.0787;1.0000;1.0000;1.0000
257;0.0505;0.0;0.5000;0.1000;0.0100;0.4667;0.0;0.4000;0.0500;0.3000;0.4000;0.0;0.0200;0.1113;0.0952;0.0922;0.5556;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0432;0.1244;0.1806;0.1269;0.1244;0.2183;0.2154;0.1244;0.2034;0.1427;0.1244;0.1303;105;10;0.0;0.0;0.0476;0.0952;0.0952;0.0667;0.0;0.0762;0.0952;0.0857;0.0190;0.0;0.0952;0.5000;0.0;0.5000;0.1000;0.0952;0.4667;0.0;0.4000;0.0952;0.3000;0.4000;0.0;0.0952;0.0181;0.0100;0.0010;0.0952;0.0952;0.0000;1.0000;1.0000
258;0.0130;0.0;0.1000;0.0300;0.0040;0.1333;0.0;0.1000;0.0150;0.0667;0.0000;0.0;0.0060;0.0366;0.0429;0.0539;0.1429;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0046;0.0365;0.0367;0.0320;0.0365;0.0498;0.0414;0.0320;0.0360;0.0000;0.0320;0.0368;70;4;0.0;0.0;0.0143;0.0429;0.0571;0.0286;0.0;0.0286;0.0429;0.0286;0.0000;0.0;0.0429;0.1429;0.0;0.1000;0.0429;0.0571;0.1333;0.0;0.1000;0.0429;0.0667;0.0000;0.0;0.0429;0.0075;0.0040;0.0002;0.0571;0.0571;0.0000;1.0000;0.0000
259;0.0682;0.0;0.5000;0.0800;0.0100;0.4000;0.0;0.3000;0.0450;0.2333;0.6000;0.0;0.0200;0.1483;0.0714;0.0870;0.7500;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0394;0.1312;0.3646;0.1297;0.1312;0.3355;0.2899;0.1260;0.2534;0.3410;0.1312;0.1449;112;10;0.0;0.0;0.0446;0.0714;0.0893;0.0536;0.0;0.0536;0.0804;0.0625;0.0268;0.0;0.0893;0.5000;0.0;0.5000;0.0800;0.0893;0.4000;0.0;0.3000;0.0804;0.2333;0.6000;0.0;0.0893;0.0180;0.0100;0.0009;0.0893;0.0893;0.0000;1.0000;1.0000
260;0.0048;0.0;0.0000;0.0100;0.0010;0.0000;0.0;0.0500;0.0050;0.0333;0.0000;0.0;0.0020;0.0072;0.0417;0.0347;0.0526;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0022;0.0144;0.0000;0.0144;0.0144;0.0000;0.0152;0.0144;0.0144;0.0000;0.0144;0.0144;24;1;0.0;0.0;0.0000;0.0417;0.0417;0.0000;0.0;0.0417;0.0417;0.0417;0.0000;0.0;0.0417;0.0526;0.0;0.0000;0.0417;0.0417;0.0000;0.0;0.0500;0.0417;0.0417;0.0000;0.0;0.0417;0.0020;0.0010;0.0000;0.0417;0.0417;0.0000;0.0000;0.0000
