user_num;top_num;top_title;idactivite;tache
1;252;orcas island;29702b91-0d4b-4235-90ef-ff26f7a4c7d7;2
1;253;tooth abscess treatments;97876d31-e882-4f20-8699-77564ac15bce;1
1;255;teddy bear picnics;e3f67d16-4bdf-4f6d-b1ec-a24f7c288560;1
1;259;carpenter bee characteristics;9d33ded1-819f-479e-bc73-84034c4cdd77;1
1;263;evolution theories;b18a7aca-926c-4fcf-ae8e-976576b2574a;1
1;270;sun tzu quotes;dfb7a8cb-8638-4235-961f-492b42aaba0b;1
1;271;halloween activities for children / pre-teens;1cd74580-d881-4230-be41-e070ca6b3710;1
1;273;wilsons desease association;dbfcf2c9-5cca-416d-860d-59d5c0c3b186;1
1;274;golf schools in (area);0190daff-7c41-4af5-be32-91b548a953c6;1
1;276;influence of african american music;65f3cdfb-1a25-447a-9459-64f4c4a7107a;1
1;277;bewitched cast;220eee66-69f3-4215-b7bf-ad6b08d4784a;2
1;278;neighborhood mister rogers lyrics;901a985d-8b07-461f-8367-9b6dc77d009b;2
1;282;nasa interplanetary missions;7e3da65b-76fa-46ea-928a-238ca55235e7;2
1;284;where do morel mushrooms grow;ba849e5d-bbd0-48b5-9b2c-a3ed3e235db4;1
1;285;magnesium food;c46f8ff4-4b98-4ca6-80e9-d2b1716b3edd;2
1;286;schizophrenia drugs by stage;28ce70d1-3c1a-42eb-95d8-584b7b60e829;1
1;287;carotid cavernous fistula treatment;73ee9bb3-4562-414b-95ac-86b86467631d;2
1;289;yoga benefits kids;23f7d520-2bc8-4729-8915-23b125540efe;2
1;291;sangre de cristo region destinations;d7b642fc-9f63-49f1-a277-4f40ea380a6b;2
1;292;electronic health record evolution;c699cae4-acef-4fab-af50-dee0affc47a2;2
1;293;social networks benefits education;525e7643-d105-47d7-ac06-0f048c3768de;2
1;296;lead acid batteries recycling centers;dfed1329-f34b-4032-8645-b0530cf64a97;2
1;297;prevent altitude sickness;7d2588c9-9411-4d89-99a9-ab234fccfc21;2
1;298;jehovah witness medical practices;50fb57af-0292-4078-8d09-536b1a786fbb;2
1;300;compute mean set of numbers;5ba40e75-b1df-4eaa-8fe9-c09bf5d9f6a3;2
10;251;data +spider bites identification;6cd34511-8111-40af-bc60-ed016a9a86a9;1
10;252;Orcas Island history;a34dc5e2-df09-4757-b4b4-d541d1f1f0c0;2
10;253;tooth abscess treatments;4a78d334-ef0d-4090-8474-111b84868a77;1
10;255;tedy bear picnics;fe98f065-b3b8-45f6-97bf-780fbcf468c6;1
10;259;carpenter bees specification;8d42a169-2b92-4cdb-af96-b31569baee07;1
10;261;sore throat remedies+soothing;8b73ee0b-e3f8-4bdd-b052-f0138cb4150f;1
10;263;data evolution theoris;d98da11b-e88f-4501-bacf-a8bf37e50240;1
10;267;lyrics song feliz navidad;7add5b71-3b6e-43f0-9946-ac3ad02ee168;1
10;270;Sun Tzu Quote;aecdbe9b-4625-4514-b843-04feb7e84550;1
10;271;good halloween activities for middle school;b3c7485a-3861-42f7-8be7-0b422f61f0c6;1
10;273;wilson's disease site;41b2c4b2-30a4-4b32-a15a-6ec38d043a71;1
10;274;school golf instruction;db2bc308-ae1f-4b78-92e8-36a7c3f3a608;1
10;276;african american music +history influence;2e8f9824-e4eb-4340-a6ca-f428394b66c6;1
10;277;cast members+Bewitched;a39d63cb-4fe3-4dc6-ac45-d22117db7527;2
10;278;mister rogers neighborhood lyrics;778dfa03-56c8-4a75-8ad1-daf1993158e6;2
10;282;interplanetary missions+nasa;0b1d413f-035c-4456-a204-4aacc07008ca;2
10;284;place+growing mushrooms;5d5f4c80-6129-4513-9a9f-620711490eb1;1
10;285;food+rich magnresium;d858b9df-5c24-44d9-ac3e-cf75a963322b;2
10;286;treat schizophrenia with drugs;8ec8b859-5cf8-44b2-acfa-6a3f970809e6;1
10;287;treatments+ccft+carotid+cavernous;f243de5e-6597-40be-898e-01f4d4003f1a;2
10;289;yoga kid + benefits;b7c11ce2-c404-4d5c-b3bf-02c6e2afd1b4;2
10;291;cities +Sangre de Cristo mountains region;887063e5-7aab-45f1-84b2-6db5bcead799;2
10;292;eletronic medical record evolution;0dd6b343-3575-4b80-81c8-5d363aa68fac;2
10;293;social network+educational benefits;c4dd553b-2788-41ec-9d4b-f90666fb9ae4;2
10;296;place+recycle lead acid batteries;faeafcea-dfa4-4d3b-bf47-93b3a1f93346;2
10;297;altitude sickness + prevention;cb3f842b-0a37-4bfb-b260-a085f9368e45;2
10;298;health care practices +Jehibah's Witnesses religion;9feafb0a-a070-4950-94f2-7fc1a4934300;2
10;300;compute mean in details;e18b5197-30d7-4654-a665-6da96a61f88d;2
11;201;raspberry pi;ecfb9ef1-4ed4-4ba5-a70b-cfe01a6a8994;1
11;202;uss carl vinson carrier;33e8627d-2f14-4c2d-9f0f-91ca6b401e8c;1
11;203;les misérables movie reviews;f81a08ae-1913-4f8e-bd4f-84789b87528d;2
11;206;pros and cons wind power;aa9731b8-7506-4c05-9e2a-242d5d37434d;2
11;212;home theater room designs;0f1d73a9-eb84-4b8d-adbf-55e24a0d29d0;1
11;216;nicolas cage movies;39cfb84b-d2c5-46c6-9871-a4d70ef865a2;2
11;220;nba all time record holders;e7ae7548-f3b1-4263-8f88-a97eb67e5833;2
11;221;electoral college 2008 us presidential race results;98fd9aa7-4be8-4a7d-ab3e-d558e608fe72;1
11;222;signs and symptoms of male menopause;ce23bec7-4595-4d3b-97d2-bcbc0cf39c22;1
11;225;air jordan black and gold (image-facultatif);2ad374d2-359e-4472-83b7-da31b04deb51;1
11;226;traverse city michigan attractions;5d311de5-a649-42c0-9cf5-d16604553d21;2
11;229;beef stroganoff full recipe;a856c2ff-9c31-4440-bfa9-0b497a6bff78;1
11;235;how to get a ham radio licence;b1d890f1-2c4a-42cc-aeae-2a18f81e8595;1
11;240;full names us presidents;09c8ddec-a2af-4a37-9c1d-2bfbed7bc9b6;2
11;241;what is a wiki;2f8498d8-65dc-4efb-adf8-c11ea90a6357;1
11;242;beans substitute cannelini beans;76d700b9-1146-4cf3-9cd6-59da024d6f59;2
11;246;civil war battles south carolina;08acca8f-9833-42bc-83ad-f5796755020e;2
11;247;watch rain man online;0f352e75-40c4-413f-a919-fa5d4e0d1bcf;2
12;201;raspberry pi;2c4b63dc-6671-4313-b3ac-85ea30632e6d;1
12;202;USS Carl Vinson homepage;583ca46d-315b-4611-a265-4b28a961cfb6;1
12;203;les misérables movie reviews;887f47f2-2b05-44bd-9146-aa7d278ef505;2
12;206;pros cons wind power;02dbde31-c6f4-48c6-90a3-3664b90e3a8f;2
12;212;home theater design;19292829-465f-47b7-98b4-3c1de7fc8fbb;1
12;216;nicolas cage filmography;8afd71e2-a734-4268-bbef-2b44fde95272;2
12;220;nba all-time records holders;719ee6f8-c366-4110-9659-0fb93b70aa26;2
12;221;electoral college 2008 results;00387877-8170-409c-8ecb-5e81d0f8368e;1
12;222;male menopause symptoms;0ed655db-5204-42e7-9682-9568dbaa9a8b;1
12;225;Air Jordan Black and Gold;06a285e2-dbed-4c9e-a33d-c4583c843f25;1
12;226;attractions traverse city;5675d12d-c696-4fea-bb86-e6e9a2da6edc;2
12;229;beef stroganoff recipe;21948a05-0074-4c7d-b027-9671053e56f1;1
12;235;ham radio licence;b7821163-443d-4016-aa24-8e3e01d92588;1
12;240;us presidents full names;30d5a337-95b4-4f82-9c96-455915a28f1f;2
12;241;what is a wiki;0b3226f9-d85d-4267-89bc-cdc41880005c;1
12;242;cannellini beans substitute;7ec4c7d9-e82f-478c-baec-d672ab4c0b90;2
12;246;south carolina civil war battles;ee56ad90-7e22-4336-a56c-5a31d7f01503;2
12;247;rain main streaming;6b777563-9059-4191-8eb1-6245ae1070a2;2
13;201;raspberry pi;03ed4ec0-02c5-4c40-8948-1c64b805225e;1
13;202;Uss Carl Vinson carrier home page;496e3d11-56e8-48b5-a2e4-cc0f957bbe2d;1
13;203;"""Les Misérables"" movie reviews";6cee07c1-94e0-4c28-ace1-9b8489e7a1ad;2
13;206;Wind power pro and cons;8db32018-c66f-44fd-8f9c-9e4bec35b021;2
13;212;Home theater room design;7ab919ea-fd41-47f0-8f14-493f2b2a6153;1
13;216;Nicolas Cage filmography;c9eb586d-067e-4819-8eba-f16f97442ac1;2
13;220;NBA all-time records;04cbcc93-2ecb-4baa-8f31-42650aa3a3cf;2
13;221;2008 electoral college results us presidential race;d28007ef-f75f-469d-b334-052f006a2320;1
13;222;Male menopause symptoms;ee36e9f0-48a9-49ec-a3b0-7a33a52726e1;1
13;225;Air Jordan black and gold picture;557d9c3c-9248-4644-8ca0-0cdaa5eb3617;1
13;226;Michigan Traverse City attractions;8e4c62a4-2026-4127-8543-4a8d86304b92;2
13;229;Complete beef stroganoff recipe;812c6d10-2314-41cb-97b0-560ee5b189d3;1
13;235;Get ham radio license;da5d7173-0acd-4acb-9c08-81732e18c300;1
13;240;All US presidents names;846f3142-da73-499c-9b43-7d24e0c92ed8;2
13;241;Definition wiki;2baf2b68-7257-4d11-8f6f-5561387cbb61;1
13;242;Substituted beans for cannellini beans;00dd5fd3-b58e-4928-8661-6b9e24d59cfd;2
13;246;civil war battles South Carolina;f40b0320-3b81-43d1-ad66-687ce3f7c44e;2
13;247;"Watch ""Rain Man"" movie online";042311c7-6f39-452e-81d6-bd2e5144a70c;2
14;201;raspberry pi;1a00b812-f0bb-4454-a027-e9d84a0a3d72;1
14;202;uss carl vinson (CVN70);26bb70b3-ea7c-4142-b710-3ed11504ba0c;1
14;203;"reviews ""Les miserables"".";4ec61522-175d-45f1-9a79-98d68c1d6684;2
14;206;pros and cons wind power;aa3d4e58-3f6d-4d0f-a128-35c2e8139c68;2
14;212;home theater room design;1a9df18c-4999-4d58-aa66-298559fdb957;1
14;216;Nicolas Cage movies;52040099-3f19-4c19-a87d-bea329781d39;2
14;220;NBA all time record horlders;7769f899-f1ab-4d7a-924b-40087af33713;2
14;221;electoral college 2008 US presidential;ddee2c80-c583-4c85-ae8e-0f0087d19423;1
14;222;symptoms male menopause;f31c7679-6b0c-4290-a2a7-9b47d20a3620;1
14;225;Air Jordan Black and Gold;33fd9c6c-665e-4d07-a022-26f69294b83f;1
14;226;attractions Traverse City, Michigan;5e5c3e8b-bcfd-475f-bc5b-180268767d64;2
14;229;beef stroganoff complete recipe;170e1581-14e8-4bb0-96d2-3b27c0a79649;1
14;235;ham radio license requirements;9b13871b-ca6b-48e9-8444-0ca3e423bea4;1
14;240;US presidents;79c4ccfb-08e0-44fd-8c97-f64b1601876a;2
14;241;wiki animal;e5e1bcd4-25b7-4116-8e43-791fc764d7d8;1
14;242;substitute for cannellini beans;ff0e510d-ef6f-414e-af36-e1b9e1f8a756;2
14;246;civil war battles South Carolina;2accd658-9e98-47b7-8ae0-c79e991a3bf3;2
14;247;"""Rain Main"" free streaming";9ca08249-bc77-4b96-b7f8-521a5a3d40f7;2
15;201;raspberry pi;856bf439-c100-451d-8645-740c419791b6;1
15;202;USS Carl Vinson (CVN70) carrier;b21b719b-a9c5-415c-9eba-d002e585d8c6;1
15;203;Les Miserables reviews;64242e55-aeff-424b-a5b3-e8b1c3e808be;2
15;206;wind power;07f9cdf6-cfbb-468a-b377-92763dd2ef4d;2
15;212;theater room design;16f6f3a1-051c-4cf5-b484-c3832a8627fb;1
15;216;nicolas cage movies;1322c82a-eeed-403e-8ea6-b830dbdd25ff;2
15;220;NBA all-time records;9d854262-c0cf-41c0-bc56-2cff13d8a445;2
15;221;electoral college for the 2008 US presidential race;aaad56f4-38ed-4fc3-8c9a-9e9cd3549872;1
15;222;male menopause symptoms;45de4d92-e862-4bf5-8f57-2b1dee9d5bbc;1
15;225;Air Jordan Black and Gold;2deb1842-bd6d-4135-a85b-c6b7c87a2001;1
15;226;attractions in Traverse City;b78dcbcb-5948-4ba0-81ba-d6b3cca10f73;2
15;229;beef stroganoff full recipe;d7031988-361f-4f53-a19f-249198d7c1ee;1
15;235;How do you get a ham radio license;b01f8341-562f-479a-b684-1c7746a090f8;1
15;240;US presidents;dccecb65-1648-4929-9e47-726d8aa2119e;2
15;241;what is a wiki;e8b41611-e132-4bef-8534-09cc2c278d15;1
15;242;substitute cannellini beans;943276d4-a1f9-463d-b8e1-fde0d44627c1;2
15;246;south carolina battles;58974e96-a99d-4d5e-8abb-b55870df20a9;2
15;247;rain man online;00726850-bb69-4003-ab3a-4442fede1fba;2
16;201;rasperry pi;15544deb-6ff0-4d51-86be-3b1842335ba6;1
16;202;uss carl vinson page;1599a2c4-97b2-475e-947e-c7b82d1e9e86;1
16;203;Les Misérables;a98111c2-908a-4f90-8d45-d0bc2e4a40ed;2
16;206;pros and cons wind power;31f68efe-32e2-48fa-ae9d-f9d2d1cc28ce;2
16;212;home theater room design;cd8a7fa7-592b-4c0f-b791-2044ed5b6f5c;1
16;216;Nicolas Cage filmography;b05581ce-1f3b-49bf-abaa-b30380e4b1ac;2
16;220;NBA all-time record holders;9a0f8c4a-1881-483c-957b-def2066658f2;2
